icd103,chapter,l1,l2
T73,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,Effects of other deprivation
T74,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,Maltreatment syndromes
T75,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,Effects of other external causes
T76,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,TBC
T77,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,TBC
T78,XIX Injury; poisoning and certain other consequences of external causes,Other and unspecified effects of external causes,Adverse effects; not elsewhere classified
T79,XIX Injury; poisoning and certain other consequences of external causes,Certain early complications of trauma,Certain early complications of trauma; not elsewhere classified
T80,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications following infusion; transfusion and therapeutic injection
T81,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications of procedures; not elsewhere classified
T82,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications of cardiac and vascular prosthetic devices; implants and grafts
T83,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications of genitourinary prosthetic devices; implants and grafts
T84,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications of internal orthopaedic prosthetic devices; implants and grafts
T85,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications of other internal prosthetic devices; implants and grafts
T86,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Failure and rejection of transplanted organs and tissues
T87,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Complications peculiar to reattachment and amputation
T88,XIX Injury; poisoning and certain other consequences of external causes,Complications of surgical and medical care; not elsewhere classified,Other complications of surgical and medical care; not elsewhere classified
T90,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,Sequelae of injuries of head
T91,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,Sequelae of injuries of neck and trunk
T92,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,Sequelae of injuries of upper limb
T93,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
T94,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
T95,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
T96,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
T97,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
T98,XIX Injury; poisoning and certain other consequences of external causes,Sequelae of injuries; of poisoning and of other consequences of external causes,TBC
V00,XX External causes of morbidity and mortality,Accidents,TBC
V01,XX External causes of morbidity and mortality,Accidents,TBC
V02,XX External causes of morbidity and mortality,Accidents,TBC
V03,XX External causes of morbidity and mortality,Accidents,TBC
V04,XX External causes of morbidity and mortality,Accidents,TBC
V05,XX External causes of morbidity and mortality,Accidents,TBC
V06,XX External causes of morbidity and mortality,Accidents,TBC
V07,XX External causes of morbidity and mortality,Accidents,TBC
V08,XX External causes of morbidity and mortality,Accidents,TBC
V09,XX External causes of morbidity and mortality,Accidents,TBC
V10,XX External causes of morbidity and mortality,Accidents,TBC
V11,XX External causes of morbidity and mortality,Accidents,TBC
V12,XX External causes of morbidity and mortality,Accidents,TBC
V13,XX External causes of morbidity and mortality,Accidents,TBC
V14,XX External causes of morbidity and mortality,Accidents,TBC
V15,XX External causes of morbidity and mortality,Accidents,TBC
V16,XX External causes of morbidity and mortality,Accidents,TBC
V17,XX External causes of morbidity and mortality,Accidents,TBC
V18,XX External causes of morbidity and mortality,Accidents,TBC
V19,XX External causes of morbidity and mortality,Accidents,TBC
V20,XX External causes of morbidity and mortality,Accidents,TBC
V21,XX External causes of morbidity and mortality,Accidents,TBC
V22,XX External causes of morbidity and mortality,Accidents,TBC
V23,XX External causes of morbidity and mortality,Accidents,TBC
V24,XX External causes of morbidity and mortality,Accidents,TBC
V25,XX External causes of morbidity and mortality,Accidents,TBC
V26,XX External causes of morbidity and mortality,Accidents,TBC
V27,XX External causes of morbidity and mortality,Accidents,TBC
V28,XX External causes of morbidity and mortality,Accidents,TBC
V29,XX External causes of morbidity and mortality,Accidents,TBC
V30,XX External causes of morbidity and mortality,Accidents,TBC
V31,XX External causes of morbidity and mortality,Accidents,TBC
V32,XX External causes of morbidity and mortality,Accidents,TBC
V33,XX External causes of morbidity and mortality,Accidents,TBC
V34,XX External causes of morbidity and mortality,Accidents,TBC
V35,XX External causes of morbidity and mortality,Accidents,TBC
V36,XX External causes of morbidity and mortality,Accidents,TBC
V37,XX External causes of morbidity and mortality,Accidents,TBC
V38,XX External causes of morbidity and mortality,Accidents,TBC
V39,XX External causes of morbidity and mortality,Accidents,TBC
V40,XX External causes of morbidity and mortality,Accidents,TBC
V41,XX External causes of morbidity and mortality,Accidents,TBC
V42,XX External causes of morbidity and mortality,Accidents,TBC
V43,XX External causes of morbidity and mortality,Accidents,TBC
V44,XX External causes of morbidity and mortality,Accidents,TBC
V45,XX External causes of morbidity and mortality,Accidents,TBC
V46,XX External causes of morbidity and mortality,Accidents,TBC
V47,XX External causes of morbidity and mortality,Accidents,TBC
V48,XX External causes of morbidity and mortality,Accidents,TBC
V49,XX External causes of morbidity and mortality,Accidents,TBC
V50,XX External causes of morbidity and mortality,Accidents,TBC
V51,XX External causes of morbidity and mortality,Accidents,TBC
V52,XX External causes of morbidity and mortality,Accidents,TBC
V53,XX External causes of morbidity and mortality,Accidents,TBC
V54,XX External causes of morbidity and mortality,Accidents,TBC
V55,XX External causes of morbidity and mortality,Accidents,TBC
V56,XX External causes of morbidity and mortality,Accidents,TBC
V57,XX External causes of morbidity and mortality,Accidents,TBC
V58,XX External causes of morbidity and mortality,Accidents,TBC
V59,XX External causes of morbidity and mortality,Accidents,TBC
V60,XX External causes of morbidity and mortality,Accidents,TBC
V61,XX External causes of morbidity and mortality,Accidents,TBC
V62,XX External causes of morbidity and mortality,Accidents,TBC
V63,XX External causes of morbidity and mortality,Accidents,TBC
V64,XX External causes of morbidity and mortality,Accidents,TBC
V65,XX External causes of morbidity and mortality,Accidents,TBC
V66,XX External causes of morbidity and mortality,Accidents,TBC
V67,XX External causes of morbidity and mortality,Accidents,TBC
V68,XX External causes of morbidity and mortality,Accidents,TBC
V69,XX External causes of morbidity and mortality,Accidents,TBC
V70,XX External causes of morbidity and mortality,Accidents,TBC
V71,XX External causes of morbidity and mortality,Accidents,TBC
V72,XX External causes of morbidity and mortality,Accidents,TBC
V73,XX External causes of morbidity and mortality,Accidents,TBC
V74,XX External causes of morbidity and mortality,Accidents,TBC
V75,XX External causes of morbidity and mortality,Accidents,TBC
V76,XX External causes of morbidity and mortality,Accidents,TBC
V77,XX External causes of morbidity and mortality,Accidents,TBC
V78,XX External causes of morbidity and mortality,Accidents,TBC
V79,XX External causes of morbidity and mortality,Accidents,TBC
V80,XX External causes of morbidity and mortality,Accidents,TBC
V81,XX External causes of morbidity and mortality,Accidents,TBC
V82,XX External causes of morbidity and mortality,Accidents,TBC
V83,XX External causes of morbidity and mortality,Accidents,TBC
V84,XX External causes of morbidity and mortality,Accidents,TBC
V85,XX External causes of morbidity and mortality,Accidents,TBC
V86,XX External causes of morbidity and mortality,Accidents,TBC
V87,XX External causes of morbidity and mortality,Accidents,TBC
V88,XX External causes of morbidity and mortality,Accidents,TBC
V89,XX External causes of morbidity and mortality,Accidents,TBC
V90,XX External causes of morbidity and mortality,Accidents,TBC
V91,XX External causes of morbidity and mortality,Accidents,TBC
V92,XX External causes of morbidity and mortality,Accidents,TBC
V93,XX External causes of morbidity and mortality,Accidents,TBC
V94,XX External causes of morbidity and mortality,Accidents,TBC
V95,XX External causes of morbidity and mortality,Accidents,TBC
V96,XX External causes of morbidity and mortality,Accidents,TBC
V97,XX External causes of morbidity and mortality,Accidents,TBC
V98,XX External causes of morbidity and mortality,Accidents,TBC
V99,XX External causes of morbidity and mortality,Accidents,TBC
W00,XX External causes of morbidity and mortality,Accidents,TBC
W01,XX External causes of morbidity and mortality,Accidents,TBC
W02,XX External causes of morbidity and mortality,Accidents,TBC
W03,XX External causes of morbidity and mortality,Accidents,TBC
W04,XX External causes of morbidity and mortality,Accidents,TBC
W05,XX External causes of morbidity and mortality,Accidents,TBC
W06,XX External causes of morbidity and mortality,Accidents,TBC
W07,XX External causes of morbidity and mortality,Accidents,TBC
W08,XX External causes of morbidity and mortality,Accidents,TBC
W09,XX External causes of morbidity and mortality,Accidents,TBC
W10,XX External causes of morbidity and mortality,Accidents,TBC
W11,XX External causes of morbidity and mortality,Accidents,TBC
W12,XX External causes of morbidity and mortality,Accidents,TBC
W13,XX External causes of morbidity and mortality,Accidents,TBC
W14,XX External causes of morbidity and mortality,Accidents,TBC
W15,XX External causes of morbidity and mortality,Accidents,TBC
W16,XX External causes of morbidity and mortality,Accidents,TBC
W17,XX External causes of morbidity and mortality,Accidents,TBC
W18,XX External causes of morbidity and mortality,Accidents,TBC
W19,XX External causes of morbidity and mortality,Accidents,TBC
W20,XX External causes of morbidity and mortality,Accidents,TBC
W21,XX External causes of morbidity and mortality,Accidents,TBC
W22,XX External causes of morbidity and mortality,Accidents,TBC
W23,XX External causes of morbidity and mortality,Accidents,TBC
W24,XX External causes of morbidity and mortality,Accidents,TBC
W25,XX External causes of morbidity and mortality,Accidents,TBC
W26,XX External causes of morbidity and mortality,Accidents,TBC
W27,XX External causes of morbidity and mortality,Accidents,TBC
W28,XX External causes of morbidity and mortality,Accidents,TBC
W29,XX External causes of morbidity and mortality,Accidents,TBC
W30,XX External causes of morbidity and mortality,Accidents,TBC
W31,XX External causes of morbidity and mortality,Accidents,TBC
W32,XX External causes of morbidity and mortality,Accidents,TBC
W33,XX External causes of morbidity and mortality,Accidents,TBC
W34,XX External causes of morbidity and mortality,Accidents,TBC
W35,XX External causes of morbidity and mortality,Accidents,TBC
W36,XX External causes of morbidity and mortality,Accidents,TBC
W37,XX External causes of morbidity and mortality,Accidents,TBC
W38,XX External causes of morbidity and mortality,Accidents,TBC
W39,XX External causes of morbidity and mortality,Accidents,TBC
W40,XX External causes of morbidity and mortality,Accidents,TBC
W41,XX External causes of morbidity and mortality,Accidents,TBC
W42,XX External causes of morbidity and mortality,Accidents,TBC
W43,XX External causes of morbidity and mortality,Accidents,TBC
W44,XX External causes of morbidity and mortality,Accidents,TBC
W45,XX External causes of morbidity and mortality,Accidents,TBC
W46,XX External causes of morbidity and mortality,Accidents,TBC
W47,XX External causes of morbidity and mortality,Accidents,TBC
W48,XX External causes of morbidity and mortality,Accidents,TBC
W49,XX External causes of morbidity and mortality,Accidents,TBC
W50,XX External causes of morbidity and mortality,Accidents,TBC
W51,XX External causes of morbidity and mortality,Accidents,TBC
W52,XX External causes of morbidity and mortality,Accidents,TBC
W53,XX External causes of morbidity and mortality,Accidents,TBC
W54,XX External causes of morbidity and mortality,Accidents,TBC
W55,XX External causes of morbidity and mortality,Accidents,TBC
W56,XX External causes of morbidity and mortality,Accidents,TBC
W57,XX External causes of morbidity and mortality,Accidents,TBC
W58,XX External causes of morbidity and mortality,Accidents,TBC
W59,XX External causes of morbidity and mortality,Accidents,TBC
W60,XX External causes of morbidity and mortality,Accidents,TBC
W61,XX External causes of morbidity and mortality,Accidents,TBC
W62,XX External causes of morbidity and mortality,Accidents,TBC
W63,XX External causes of morbidity and mortality,Accidents,TBC
W64,XX External causes of morbidity and mortality,Accidents,TBC
W65,XX External causes of morbidity and mortality,Accidents,TBC
W66,XX External causes of morbidity and mortality,Accidents,TBC
W67,XX External causes of morbidity and mortality,Accidents,TBC
W68,XX External causes of morbidity and mortality,Accidents,TBC
W69,XX External causes of morbidity and mortality,Accidents,TBC
W70,XX External causes of morbidity and mortality,Accidents,TBC
W71,XX External causes of morbidity and mortality,Accidents,TBC
W72,XX External causes of morbidity and mortality,Accidents,TBC
W73,XX External causes of morbidity and mortality,Accidents,TBC
W74,XX External causes of morbidity and mortality,Accidents,TBC
W75,XX External causes of morbidity and mortality,Accidents,TBC
W76,XX External causes of morbidity and mortality,Accidents,TBC
W77,XX External causes of morbidity and mortality,Accidents,TBC
W78,XX External causes of morbidity and mortality,Accidents,TBC
W79,XX External causes of morbidity and mortality,Accidents,TBC
W80,XX External causes of morbidity and mortality,Accidents,TBC
W81,XX External causes of morbidity and mortality,Accidents,TBC
W82,XX External causes of morbidity and mortality,Accidents,TBC
W83,XX External causes of morbidity and mortality,Accidents,TBC
W84,XX External causes of morbidity and mortality,Accidents,TBC
W85,XX External causes of morbidity and mortality,Accidents,TBC
W86,XX External causes of morbidity and mortality,Accidents,TBC
W87,XX External causes of morbidity and mortality,Accidents,TBC
W88,XX External causes of morbidity and mortality,Accidents,TBC
W89,XX External causes of morbidity and mortality,Accidents,TBC
W90,XX External causes of morbidity and mortality,Accidents,TBC
W91,XX External causes of morbidity and mortality,Accidents,TBC
W92,XX External causes of morbidity and mortality,Accidents,TBC
W93,XX External causes of morbidity and mortality,Accidents,TBC
W94,XX External causes of morbidity and mortality,Accidents,TBC
W95,XX External causes of morbidity and mortality,Accidents,TBC
W96,XX External causes of morbidity and mortality,Accidents,TBC
W97,XX External causes of morbidity and mortality,Accidents,TBC
W98,XX External causes of morbidity and mortality,Accidents,TBC
W99,XX External causes of morbidity and mortality,Accidents,TBC
X00,XX External causes of morbidity and mortality,Accidents,TBC
X01,XX External causes of morbidity and mortality,Accidents,TBC
X02,XX External causes of morbidity and mortality,Accidents,TBC
X03,XX External causes of morbidity and mortality,Accidents,TBC
X04,XX External causes of morbidity and mortality,Accidents,TBC
X05,XX External causes of morbidity and mortality,Accidents,TBC
X06,XX External causes of morbidity and mortality,Accidents,TBC
X07,XX External causes of morbidity and mortality,Accidents,TBC
X08,XX External causes of morbidity and mortality,Accidents,TBC
X09,XX External causes of morbidity and mortality,Accidents,TBC
X10,XX External causes of morbidity and mortality,Accidents,TBC
X11,XX External causes of morbidity and mortality,Accidents,TBC
X12,XX External causes of morbidity and mortality,Accidents,TBC
X13,XX External causes of morbidity and mortality,Accidents,TBC
X14,XX External causes of morbidity and mortality,Accidents,TBC
X15,XX External causes of morbidity and mortality,Accidents,TBC
X16,XX External causes of morbidity and mortality,Accidents,TBC
X17,XX External causes of morbidity and mortality,Accidents,TBC
X18,XX External causes of morbidity and mortality,Accidents,TBC
X19,XX External causes of morbidity and mortality,Accidents,TBC
X20,XX External causes of morbidity and mortality,Accidents,TBC
X21,XX External causes of morbidity and mortality,Accidents,TBC
X22,XX External causes of morbidity and mortality,Accidents,TBC
X23,XX External causes of morbidity and mortality,Accidents,TBC
X24,XX External causes of morbidity and mortality,Accidents,TBC
X25,XX External causes of morbidity and mortality,Accidents,TBC
X26,XX External causes of morbidity and mortality,Accidents,TBC
X27,XX External causes of morbidity and mortality,Accidents,TBC
X28,XX External causes of morbidity and mortality,Accidents,TBC
X29,XX External causes of morbidity and mortality,Accidents,TBC
X30,XX External causes of morbidity and mortality,Accidents,TBC
X31,XX External causes of morbidity and mortality,Accidents,TBC
X32,XX External causes of morbidity and mortality,Accidents,TBC
X33,XX External causes of morbidity and mortality,Accidents,TBC
X34,XX External causes of morbidity and mortality,Accidents,TBC
X35,XX External causes of morbidity and mortality,Accidents,TBC
X36,XX External causes of morbidity and mortality,Accidents,TBC
X37,XX External causes of morbidity and mortality,Accidents,TBC
X38,XX External causes of morbidity and mortality,Accidents,TBC
X39,XX External causes of morbidity and mortality,Accidents,TBC
X40,XX External causes of morbidity and mortality,Accidents,TBC
X41,XX External causes of morbidity and mortality,Accidents,TBC
X42,XX External causes of morbidity and mortality,Accidents,TBC
X43,XX External causes of morbidity and mortality,Accidents,TBC
X44,XX External causes of morbidity and mortality,Accidents,TBC
X45,XX External causes of morbidity and mortality,Accidents,TBC
X46,XX External causes of morbidity and mortality,Accidents,TBC
X47,XX External causes of morbidity and mortality,Accidents,TBC
X48,XX External causes of morbidity and mortality,Accidents,TBC
X49,XX External causes of morbidity and mortality,Accidents,TBC
X50,XX External causes of morbidity and mortality,Accidents,TBC
X51,XX External causes of morbidity and mortality,Accidents,TBC
X52,XX External causes of morbidity and mortality,Accidents,TBC
X53,XX External causes of morbidity and mortality,Accidents,TBC
X54,XX External causes of morbidity and mortality,Accidents,TBC
X55,XX External causes of morbidity and mortality,Accidents,TBC
X56,XX External causes of morbidity and mortality,Accidents,TBC
X57,XX External causes of morbidity and mortality,Accidents,TBC
X58,XX External causes of morbidity and mortality,Accidents,TBC
X59,XX External causes of morbidity and mortality,Accidents,TBC
X60,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X61,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X62,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X63,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X64,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X65,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X66,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X67,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X68,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X69,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X70,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X71,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X72,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X73,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X74,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X75,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X76,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X77,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X78,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X79,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X80,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X81,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X82,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X83,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X84,XX External causes of morbidity and mortality,Intentional self-harm,TBC
X85,XX External causes of morbidity and mortality,Assault,TBC
X86,XX External causes of morbidity and mortality,Assault,TBC
X87,XX External causes of morbidity and mortality,Assault,TBC
X88,XX External causes of morbidity and mortality,Assault,TBC
X89,XX External causes of morbidity and mortality,Assault,TBC
X90,XX External causes of morbidity and mortality,Assault,TBC
X91,XX External causes of morbidity and mortality,Assault,TBC
X92,XX External causes of morbidity and mortality,Assault,TBC
X93,XX External causes of morbidity and mortality,Assault,TBC
X94,XX External causes of morbidity and mortality,Assault,TBC
X95,XX External causes of morbidity and mortality,Assault,TBC
X96,XX External causes of morbidity and mortality,Assault,TBC
X97,XX External causes of morbidity and mortality,Assault,TBC
X98,XX External causes of morbidity and mortality,Assault,TBC
X99,XX External causes of morbidity and mortality,Assault,TBC
Y00,XX External causes of morbidity and mortality,Assault,TBC
Y01,XX External causes of morbidity and mortality,Assault,TBC
Y02,XX External causes of morbidity and mortality,Assault,TBC
Y03,XX External causes of morbidity and mortality,Assault,TBC
Y04,XX External causes of morbidity and mortality,Assault,TBC
Y05,XX External causes of morbidity and mortality,Assault,TBC
Y06,XX External causes of morbidity and mortality,Assault,TBC
Y07,XX External causes of morbidity and mortality,Assault,TBC
Y08,XX External causes of morbidity and mortality,Assault,TBC
Y09,XX External causes of morbidity and mortality,Assault,TBC
Y10,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y11,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y12,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y13,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y14,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y15,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y16,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y17,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y18,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y19,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y20,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y21,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y22,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y23,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y24,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y25,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y26,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y27,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y28,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y29,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y30,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y31,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y32,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y33,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y34,XX External causes of morbidity and mortality,Event of undetermined intent,TBC
Y35,XX External causes of morbidity and mortality,Legal intervention and operations of war,TBC
Y36,XX External causes of morbidity and mortality,Legal intervention and operations of war,TBC
Y40,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y41,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y42,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y43,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y44,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y45,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y46,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y47,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y48,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y49,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y50,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y51,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y52,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y53,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y54,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y55,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y56,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y57,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y58,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y59,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y60,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y61,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y62,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y63,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y64,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y65,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y66,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y67,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y68,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y69,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y70,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y71,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y72,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y73,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y74,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y75,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y76,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y77,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y78,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y79,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y80,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y81,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y82,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y83,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y84,XX External causes of morbidity and mortality,Complications of medical and surgical care,TBC
Y85,XX External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,TBC
Y86,XX External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,TBC
Y87,XX External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,TBC
Y88,XX External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,TBC
Y89,XX External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,TBC
Y90,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y91,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y92,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y93,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y94,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y95,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y96,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y97,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Y98,XX External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere,TBC
Z00,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,General examination and investigation of persons without complaint and reported diagnosis
Z01,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Other special examinations and investigations of persons without complaint or reported diagnosis
Z02,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Examination and encounter for administrative purposes
Z03,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Medical observation and evaluation for suspected diseases and conditions
Z04,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Examination and observation for other reasons
Z05,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,TBC
Z06,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,TBC
Z07,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,TBC
Z08,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Follow-up examination after treatment for malignant neoplasms
Z09,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Follow-up examination after treatment for conditions other than malignant neoplasms
Z10,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,TBC
Z11,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Special screening examination for infectious and parasitic diseases
Z12,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Special screening examination for neoplasms
Z13,XXI Factors influencing health status and contact with health services,Persons encountering health services for examination and investigation,Special screening examination for other diseases and disorders
Z20,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Contact with and exposure to communicable diseases
Z21,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Asymptomatic human immunodeficiency virus [HIV] infection status
