study_id,extracted_data,checked_data,first_author,title,duplicate_intervention,study_year,doi,source,include,exclusion _reason,mmat_s1_clear_research_questions,mmat_s2_appropriate_methods,mmat_pass_screening,mmat_study_type,mmat_q1,mmat_q2,mmat_q3,mmat_q4,mmat_q5,mmat_all_yes,mmat_comments,country,region,region2,setting,ost_medication_type,years_implemented,first_year,first_year_group,elements,type,intervention_description,population / participants,subgroup,sample,age,comparison_group,outcome_measures,study_design,Brief description of study findings,conclude_effective
149,DL,NT ,Thomas,Emergency department interventions for opioid use disorder: A synthesis of emerging models.,,2022,10.1016/j.jsat.2022.108837,references 1,yes,include,yes,yes,yes,qualitative,yes,yes,yes,yes,yes,yes,,United States,Other,Other or nationwide,ED,Buprenorphine,Not stated. Interviews took place February - May 2021,2021,2020-2024,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Peer support for patients who need OAT",ed_ost,"Five case studies ED-based interventions, some spanning multiple sites. Each site initiates buprenorphine. Some sites have additional elements including peer support and bridge clinics. Each case study has a different approach to identifying patients, including self-referral, screening, and clinician referrals. One site has signs that say ""If you are struggling with pills or heroin, we can start you on buprenorphine today.""",,,,unknown,None,Barriers and facilitators of programme success,qualitative,"Barriers included stigma, limited capacity in outpatient/community-based treatment, lack of knowledge about OUD treatment, co-ordination/workflow issues (ie. referrals etc.), lack of insurance and other funding issues, and buprenorphine x-waiver requirements. Facilitators included patient-centred/low-barrier approach, a passionate champion of the service, a structure to facilitate communication across partners (ie. ED and community providers), tracking of performance, and flexibility during the COVID-19 pandemic. The study concludes that ED-based MOUD is feasible in various settings.",yes
150,DL,NT ,Wakeman,Impact of Inpatient Addiction Consultation on Hospital Readmission,,2021,10.1007/s11606-020-05966-0,references 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,DL,NT ,Wakeman,Inpatient Addiction Consultation for Hospitalized Patients Increases Post-Discharge Abstinence and Reduces Addiction Severity,,2017,10.1007/s11606-017-4077-z,references 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,DL,NT ,Weimer,The Need for Multidisciplinary Hospital Teams for Injection Drug Use-related Infective Endocarditis.,,2022,10.1097/ADM.0000000000000916,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,DL,NT ,Weimer,Treatment of Opioid Use Disorder in the Acute Hospital Setting: a Critical Review of the Literature (2014–2019),,2019,10.1007/s40429-019-00267-x,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,systematic review,"Search of Medline from 2014-2019 for peer-review articles on OUD screening, diagnosis, and treatment in acute hospital settings. Excluded studies focusing on ED only. 46 studies included, grouped into: (1) screening for OUD; (2) initiation of MOUD; (3) addiction medicine consult services; (4) treating OUD in patients with infections; (5) transitions of care; (6) overdose prevention and harm reduction; (7) clinical innovations. Concludes that ""the available evidence informs us that a multidisciplinary, coordinated approach is needed to optimize outcomes when treating patients with OUD in the hospital setting,"" and particularly promotes the use of addiction medicine consult services.",unclear
147,NT,DL,Paras,Multidisciplinary team approach to confront the challenge of drug use-associated infective endocarditis.,,2023,10.1016/j.jtcvs.2021.10.048,references 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Comparison in patient outcomes before and after the intervention, with no control group or adjustment for differences in patient characteristics",United States,Massachusetts,Northeast states,hospital-wide,Methadone and buprenorphine,Intervention started in 2018,2018,2015-2019,OAT guidance or protocol;Multidisciplinary patient review;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT;Providing advice about OAT to primary medical teams;Improving specialty-specific care for patients who are dependent on opioids,building_capacity,"A multidisciplinary team to care for patients with drug use associated infective endocarditis (DUA-IE), termed the DUET team,  was created in August 2018. The team consists of a core group of members, including cardiac surgeons, infectious disease specialists, addiction medicine specialists, and cardiologists. The goal of the DUET team is to provide a regular forum for multiple specialties to discuss their shared patients with DUA-IE. Primary team members, interventional cardiologists, neurologists, neurosurgeons, nurses, pharmacists, substance use disorder recovery coaches, case managers, and social workers are also routinely invited. To facilitate reporting of patients with DUA-IE by frontline providers to the DUET team, a web-based survey via the REDCap electronic data capture tool was developed. Providers are asked to provide basic patient data and specify whether an expedited meeting is needed because of complex or time-sensitive case elements. Engagement of the DUET team is standard practice when the CT surgery service is consulted by the primary team for a patient who injects drugs.",Patients with drug use associated infective endocarditis,May have unclear tolerance (for example due to recent opioid 'detoxification');Patients with drug use associated infective endocarditis,Pre DUET 27 ; Post-DUET 19,Pre-DUET Group: Mean 35.1 (SD 8.2) ; Post-DUET Group: Mean 37.8 (SD: 7.7),None,"Time to addiction medicine consultation; patients were discharged on buprenorphone, naloxone or methadone ; there is also a survey about how physicians in addiction medicine perceived the intervention",before vs. after,"Comparing the pre–Drug Use Endocarditis Treatment cohort with the post–Drug Use Endocarditis Treatment cohort, patients in the post–Drug Use Endocarditis Treatment cohort who underwent surgery had a significantly lower time from admission to addiction medicine consultation (3.8 vs 1.0 days P<.001) and clinically relevant increase in discharge on medications for opioid use disorder (48% vs 67% P ¼ .35). Additionally, involved members of the team thought communication was improved.

The Drug Use Endocarditis Treatment team improved engagement with addiction medicine consultation and appropriate discharge care. Given the impact of relapse of injection drug use on long-term outcomes, interventions such as this offer potentially powerful tools for the treatment of this complex patient population
",yes
156,NT,DL,Williams,Implementation of a clinical pathway to screen and treat medical in patients for opioid withdrawal.,,2022,10.1177/26334895221096290,references 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,Comparison of survey data before and after implementation of protocol,United States,Delaware,Southern states,hospital-wide,Buprenorphine,2016-2018,2016,2015-2019,"OAT guidance or protocol;Peer support for patients who need OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",building_capacity,"A clinical pathway to screen and treat inpatients for opioid withdrawal. The pathway process included a two-item universal screening instrument to identify opioid withdrawal risk (Opioid Withdrawal Risk Assessment), use of the  Clinical Opiate Withdrawal Scale (COWS) to monitor opioid withdrawal symptoms and severity, and a 72-h buprenorphine/naloxone-based treatment protocol.",Patients experiencing opioid withdrawal ;  Nurses,,2347 patients; 83 nurses ,unknown,None,Monthly number of patients identified as at risk for opioid withdrawal (OWRA); number of patients who were then assessed using the COWS; monthly rate of eligible patients treated with standard pathway order set of buprenorphine or naloxone to manage their withdrawal symptoms and measure fidelity to the pathway model. Nurses completed a survey  pre and post implementation and items such as confidence identifying withdrawal.,before vs. after,"Between 2016 and 2018, 72.4% (77,483/107,071) of admitted patients received 
the OWRA screening tool. Of those, 3.0% (2,347/77,483) were identified at risk for opioid 
withdrawal. Of those 2,347 patients, 2,178 (92.8%) were assessed with the COWS and 29.6% 
(645/2,178) were found to be in active withdrawal. A total of 49.5% (319/645) patients were treated with buprenorphine/naloxone. Fifty-seven percent (83/145) of nurses completed both the pre- and post-pathway implementation surveys. Analysis of the pre/post survey data revealed that nurse respondents were more confident in their ability to determine which patients were at risk for withdrawal (p = .01) and identify patients currently experiencing withdrawal (p < .01). However, they cited difficulty working with the patient population and coordinating care with physicians.",yes
157,NT,DL,Zavodnick,"Medication Initiation, Patient-directed Discharges, and Hospital Readmissions Before and After Implementing Guidelines for Opioid Withdrawal Management.",,2022,10.1097/ADM.0000000000001053,references 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,cannot tell,no,Comparison of OST and DAMA before and after introduction of withdrawal guidelines,United States,Pennsylvania,Northeast states,hospital-wide,Methadone and buprenorphine,Pre guideline period 2017-2018;  Guideline period Jan - Jul 2019,2019,2015-2019,"OAT guidance or protocol;Training and education in relation to OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers)",building_capacity,"The inpatient opioid withdrawal guidelines were developed by an interdisciplinary task force including pharmacists, physicians, nurses, psychologists, social workers, security personnel, and hospital administrators. Considerations addressed include performing initial urine drug testing; screening, brief intervention, and referral to treatment; consideration of security search; and using the Clinical Opioid Withdrawal Scale (COWS) to assess withdrawal. Clinicians are directed to choose methadone or buprenorphine in addition to non agonist adjunctive medications (including clonidine and symptom-focused medications) or nonagonist medications alone if patients decline agonist therapy. Dosing recommendations are given for all medications. After administrative approval and publication alongside other local clinical guidelines, in-person educational sessions were delivered to familiarise attending physicians and residents from internal and family medicine with the guidelines. Bedside nurses were trained in performing the COWS assessment and completed an online module on addiction.","Patients with an OUD-related International Classification of Diseases, Tenth Revision code billed during admission to a large urban academic medical centre",,1821 total; 921 before guideline; 900 after guideline,Before guideline mean age: 38.9 (SD 12.8) ; After guideline mean age 40.5 (SD: 13.4) ; Overall mean age 39.7 (SD:13.1),None,"PRIMARY: patient directed discharge (PDD), readmission within 30 days, rate of OAT use (methadone or buprenorphine). SECONDARY: rate of psychiatry consultation",before vs. after,"Use of OAT in patients with OUD increased significantly after guideline introduction, from 23.3% to 64.8% (P < 0.001). Patient directed discharge did not change, remaining at 14% before and after. Thirty-day readmissions increased 12.4% to 15.7% (P = 0.05065). Receiving any OAT was associated with increased patient directed discharge (PDD) and readmission, but only within the post-intervention cohort.

A guideline to facilitate generalist management of opioid withdrawal in hospitalized patients improved the process of care, increasing the use of OAT and decreasing workload on the psychiatry consult services. Although increased inpatient OAT has been previously shown
to decrease PDD, in this study PDD and readmission rates did not improve. Guidelines may be insufficient to impact these outcomes.",unclear
130,NT,GW,Cao,"Prescribing Buprenorphine for Opioid Use Disorders in the ED: A Review of Best Practices, Barriers, and Future Directions",,2020,10.2147/OAEM.S267416,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,NT,DL,Whiteside,Models for Implementing Emergency Department-Initiated Buprenorphine With Referral for Ongoing Medication Treatment at Emergency Department Discharge in Diverse Academic Centers.,,2022,10.1016/j.annemergmed.2022.05.010,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,NT,DL,Whiteside,The Emergency Department Longitudinal Integrated Care (ED-LINC) intervention targeting opioid use disorder: A pilot randomized clinical trial.,,2021,10.1016/j.jsat.2021.108666,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,NT,DL,McGuire,Emergency department-based peer support for opioid use disorder: Emergent functions and forms,,2020,10.1016/j.jsat.2019.06.013,references 1,yes,include,yes,yes,yes,qualitative,yes,yes,cannot tell,cannot tell,yes,no,,United States,Other,Other or nationwide,ED,Methadone and buprenorphine,2018-2019,2018,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Peer support for patients who need OAT",ed_ost,"Integration of peer supports in EDs; Alerting peers of eligible patients and making the patient aware of peer services; and connecting patients with recovery services. The results describe three core functions of the peer support programme, the third one being ""Connecting PWOUDs to MAT and other recovery services"", where burpenorphine was prescribed before the patient left ED.","Interviews with: Patient navigators, program directors, and clinic directors (ED, behavioral health); and focus groups with: peer recovery specialists.",,15 (unclear),unknown,None,Core functions of the peer support programme,qualitative,"Peer integration differed in terms of peer's physical location and who hired and supervised peers. Peers often depend on ED staff to alert them to potential patients while people other than the peers often first introduce potential patients to programming. Programs generally schedule initial appointments for recovery services for patients, but some programs provide a range of other services aimed at supporting participation in recovery services. Future effectiveness evaluations of ED-based peer support programs for OUD should consistently report on forms used to fulfill core functions.",unclear
99,NT ,GW,Christian,Hospital Buprenorphine Program for Opioid Use Disorder Is Associated With Increased Inpatient and Outpatient Addiction Treatment,"""B-Team"" - 129/99/171",2021,10.12788/jhm.3591,references 1,yes,include,yes ,yes ,yes,quantitative descriptive,yes ,yes,yes,no,cannot tell,no,"Case series of patients seen by ""B-Team""",United States,Texas,Southern states,medical wards,Buprenorphine,2018-2020,2018,2015-2019,"Multidisciplinary patient review;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Providing advice about OAT to primary medical teams",addiction_consult,"The B-Team is led by a hospital medicine physician assistant and includes physicians from internal medicine, consult-liaison psychiatry, and palliative care; advanced practice and bedside nurses; a social worker; a pharmacist; a chaplain; a peer recovery specialist; and medical trainees. The B-Team is notified of potential candidates for buprenorphine through a secure texting platform. Patients who are referred to the B-Team either self-identify or are identified by their primary team. One of the B-Team providers assesses the patient to determine if they are eligible to receive inpatient therapy.","Patients are considered eligible for the program if they meet Diagnostic and Statistical Manual of Mental Disorders (5th edition) criteria for OUD, have a desire to cease opioid use, and receive medical clearance to take buprenorphine.",,132,Estimated mean by linear interpolation: 43.1,None,Administered buperenorphine therapy in inpatient setting; patients bridged to an outpatient programme; patients seen at first outpatient appointment 1-3 months after discharge from the hospital; patients attended at least one subsequent appointment between 3-6 months after discharge; patients attended at least one subsequent appointment after 6 months. ,case series,"During the first 2 years of the program, the B-Team administered buprenorphine therapy to 132 patients in the inpatient setting; 110 (83%) of these patients were bridged to an outpatient program. Of these patients, 65 patients (59%) were seen at their first outpatient appointment; 42 (38%) attended at least one subsequent appointment 1 to 3 months after discharge from the hospital; 29 (26%) attended at least one subsequent appointment between 3 and 6 months after discharge; and 24 (22%) attended at least one subsequent appointment after 6 months.",yes
108,NT ,NT ,Calcaterra,Opioid Use Disorder Treatment Initiation and Continuation: a Qualitative Study of Patients Who Received Addiction Consultation and Hospital-Based Providers.,,2022,10.1007/s11606-021-07305-3,references 1,yes,include,yes ,yes ,yes,qualitative,yes,yes,yes,yes,yes,yes,,United States,Colorado,Western states,hospital-wide,Methadone and buprenorphine,2020-2021,2020,2020-2024,Multidisciplinary patient review;Training and education in relation to OAT;Providing advice about OAT to primary medical teams,addiction_consult,Addiction Consult Service (ACS): hospital-based OUD treatment initiation and continuation,Patients who had interacted with the ACS during hospitalisation,,20,unknown,None,Facilitators and barriers to hospital-based OUD,qualitative,"Themes include: (1) the benefit of an ACS to facilitate OUD treatment engagement; (2) expanded use of methadone or buprenorphine to treat opioid withdrawal; (3) the triad of hospitalization, self-efficacy, and easily accessible, patientcentered treatment motivates change in opioid use; (4) adequate pain control and stabilization of mental health conditions among patients with OUD contributed to opioid agonist therapy (OAT) continuation; (5) and stable housing and social support are prerequisites for OAT uptake and continuation",yes
158,DL,VH,Samuels,"Scaling Emergency Department Opioid Use Disorder Treatment Across California to Reduce Overdose Deaths, 2019-2023.",,2024,10.2105/AJPH.2024.307710,database 2,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,yes,no,no,There is no control group - the study reports the number of patients identified by CA Bridge with OUD and given buprenorphine over time (within hospitals). This design cannot isolate the design from secular trends and may also exclude patients who are not classed as CA Bridge patients,United States,California,Western states,ED,Buprenorphine,2019-2023,2019,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT",ed_ost,"CA Bridge - 331 acute hospitals in California received funding and technical support to implement ED-based buprenorphine intiation. The intervention includes a clinical champion and a patient navigator to provide buprenorphine in ED, take-home naloxone, harm education education, linkage to community treatment (including scheduling appointings, follow-up calls to patients, help with transport), centrally provided training, a protocol for buprenorphine initiation. 268 hospitals were included in the study",Acute hospitals,,279025 patient encounters across 268 hospitals,unknown,None,"Number of patient encounters, Number of patients with OUD, Number of patients given buprenorphine in ED",case series,"The number of participating hospitals increased from 52 in round 1 (2019) to 241 in round 3 (2023). The number of patient encounters, patients identified with OUD, and patients given buprenorphine grew within hospitals joining the programme and across the entire programme.",yes
159,DL,KS,Calcaterra,In-Hospital Methadone Enrollment: a Novel Program to Facilitate Linkage from the Hospital to the Opioid Treatment Program for Vulnerable Patients with Opioid Use Disorder,,2024,10.1007/s11606-023-08411-0,database 2,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,,United States,"Aurora, Colorado (Western US)",Western states,medical wards,Methadone,2019-2023,2019,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Providing advice about OAT to primary medical teams",addiction_consult,"IN-MEET, a partnership between an Addiction Consult Service and the local outpatient opioid treatment programme. ACS clinicians may offer patients methadone, and at this point refer them to IN-MEET. An IN-MEET doctor initiates/titrates methadone. An IN-MEET nurse then completes a psychosocial assessment and organises linkage to the outpatient opioid treatment programme where methadone is continued.",Hospital patients with OUD,,165 methadone enrollments,Mean 39.7 (sd 11.2),None,"Number of methadone enrollments, presentations to outpatient opioid treatment programme",case series,"From April 2019 to April 2023, the IN-MEET team completed 165 methadone enrollments. Among a subset 73 patients, 56 (76.7%) presented to the OTP after hospital discharge.",yes
160,DL,AH,Seaberg,Emergency Department-Based Medication for Opioid Use Disorder Program: Addressing Gaps in Linkages to Care,,2024,10.7759/cureus.62927,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,DL,AH,Lynch,A telemedicine bridge clinic improves access and reduces cost for opioid use disorder care.,,2024,10.1016/j.dadr.2024.100227,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,DL,AH,Barkley,Initiation of Buprenorphine in the Emergency Department: A Survey of Emergency Clinicians.,,2024,10.5811/westjem.18029,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,DL,KS,Basrai,Improving Healthcare Professionals' Access to Addiction Medicine Education Through VHA Addiction Scholars Program.,,2024,10.5811/westjem.17850,database 2,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,DL,KS,Mahal,Addressing System and Clinician Barriers to Emergency Department-initiated Buprenorphine: An Evaluation of Post-intervention Physician Outcomes.,,2024,10.5811/westjem.18320,database 2,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,yes,yes,no,,United States,New York,Northeast states,ED,Buprenorphine,2018-2020,2018,2015-2019,"OAT guidance or protocol;Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",ed_ost,The intervention was focused in ED and included: (1) an electronic health record note template for opioid withdrawal and OUD assessment; 2) a clinical protocol for administering buprenorphine in the ED; 3) a clinical workflow to provide naloxone training and take-home kits for overdose prevention; and 4) a peer navigation program to facilitate referral and linkage to outpatient buprenorphine treatment. There were also incentives to complete x-waiver training and a lecture series.,Attending physicians,,58,unknown,Physicians at two control EDs,"Recent administration of buprenorphine, knowledge and attitudes in relation to opioid use disorder ",cross-sectional (with control group),"Physicians were 4.5 times more likely to have administered buprenorphine at the intervention site (odds ratio [OR] 4.5, 95% confidence interval 1.4–14.4, P = 0.01), but there was no evidence that knowledge and attitudes differed. The article concludes that ""ED-initiated buprenorphine can be facilitated by addressing implementation barriers, while physician knowledge, comfort, and attitudes may be harder to improve"".",yes
165,DL,KS,Heil,A qualitative assessment of emergency physicians' experiences with robust emergency department buprenorphine bridge programs.,,2024,10.1111/acem.14880,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,DL,KS,Bowman,Operationalizing the new DEA exception: A novel process for dispensing of methadone for opioid use disorder at discharge from acute care settings.,,2024,10.1093/ajhp/zxad288,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,DL,KS,Myles,"Emergency Department Buprenorphine Quality Improvement and Emergency Physician Knowledge, Attitudes, and Self-Efficacy.",,2023,10.5811/westjem.59477,database 2,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,,United States,Rhode Island,Northeast states,ED,Buprenorphine,2019,2019,2015-2019,"OAT guidance or protocol;Training and education in relation to OAT, including x-waiver training in the United States",ed_ost,"A quality improvement initiative that included educational lectures at faculty retreat and residency conferences, a standardised buprenorphine prescribing protocol posted in all clinician work areas, and on-shift prescribing support through a physician-staffed 24/7 support warm line.",Attending physicians,,116,Mean 45.4 (interpolated),Physicians pre-intervention,"Number of x-waivered physicians, recent buprenorphine prescription, confidence, knowledge, and attitudes",before vs. after,"There was an increase in the number of X-waivered respondents, and ED buprenorphine prescribing almost doubled after program implementation. Physician confidence and knowledge increased, but there was no evidence that attitudes and self-efficacy changed.",yes
168,DL,KS,Herring,Emergency Department Access to Buprenorphine for Opioid Use Disorder.,,2024,10.1001/jamanetworkopen.2023.53771,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,DL,KS,Borelli,"Implementation of an education session on buprenorphine induction in the emergency department, a resident-led initiative.",,2024,10.1186/s12954-023-00917-4,database 2,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,,United States,"San Antonio, Texas",Southern states,ED,Buprenorphine,2019,2019,2015-2019,"Training and education in relation to OAT, including x-waiver training in the United States",ed_ost,"A thirty-minute educational session including (1) a lecture on the pharmacology of buprenorphine, buprenorphine induction in the emergency department focusing on a standard dose induction protocol, identifying opioid withdrawal, adjuncts for opioid withdrawal, and local resources for coordinating care for after discharge; (2) a practice case workshop, and multiple-choice questions to assess understanding in a discussion-based format.","ED physicians, medical students, and faculty physicians",,84,unknown,Pre-test survey,"Understanding of risks and benefits of buprenorphine, comfort prescribing buprenorphine, intention to prescribe buprenorphine to eligible patients",before vs. after,"Large increase in knowledge, comfort, and intention to prescribe buprenorphine",yes
170,DL,KS,Lowenstein,Impact of Universal Screening and Automated Clinical Decision Support for the Treatment of Opioid Use Disorder in Emergency Departments: A Difference-in-Differences Analysis.,,2024,10.1016/j.annemergmed.2023.03.033,database 2,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,yes,yes,yes,,United States,Pennsylvania,Northeast states,ED,Buprenorphine,2020-2022,2020,2020-2024,OAT guidance or protocol;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT,ed_ost,A nurse-driven triage screening protocol for opioid use disorder in 3 EDs. A positive screening result triggers electronic health record prompts and clinical decision support to assess for withdrawal and initiate buprenorphine treatment.,,,3193,unknown,Patients at 2 control EDs where the intervention was not implemented,"Primary: COWS assessment. Secondary: treatment with MOUD, take-away naloxone",cohort study (with control group),"There were 2,462 visits in the intervention hospitals (1,258 in the pre-period and 1,204 in the post-period) and 731 in the control hospitals (459 in the pre-period and 272 in the post-period). Difference-in-difference analysis comparing patients before and after implementation in intervention and control EDs. COWS assessments, MOUD treatment, and naloxone all increased.",yes
171,DL,KS,Moriates,Hospital-based opioid treatment: Expanding and sustaining the model in Texas.,"""B-Team"" - 129/99/171",2023,10.1002/jhm.13201,database 2,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,,United States,Texas,Southern states,medical wards,Buprenorphine,2018-2023,2018,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT;Providing advice about OAT to primary medical teams",addiction_consult,"B-Team, a clinical team that provides opioid treatment (buprenorphine) for inpatients. The team trains clinical services to screen for OUD, initiates bupernorphine (or supports the primary team to do this), links to community-based treatment services, and provides peer support. ",Hospital patients with OUD on buprenorphine,,398,unknown,None,Follow-up in community treatment services,case series,"The B-Team started 398 patients on buprenorphine from 2018-2023, of which 353 were referred to community treatment services, 249 had a scheduled appointment, and 73 continued to attend after 6 months.",yes
172,DL,KS,Stone,Buprenorphine/naloxone initiation and referral as a quality improvement intervention for patients who live with opioid use disorder: quantitative evaluation of provincial spread to 107 rural and urban Alberta emergency departments.,,2023,10.1007/s43678-023-00520-3,database 2,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,yes,yes,no,Subset of EDs provided data,Canada,Alberta,Alberta,ED,Buprenorphine,2018-2020,2018,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States",ed_ost,"Provision of resources to EDs to support buprenorphine/naloxone initiation and linkage to community treatment services. Resources include medication supplies, educational materials for clinicians, and patient-facing materials.","ED patients starting buprenorphine/naloxone for opioid use disorder. Only discharged patients were included, because they were eligible for both intervention components (buprenorphine/naloxone initiation and referral to a community clinic.",,1775 ED buprenorphine/naloxone initiations; 13 EDs,unknown,None,"Primary outcome  was an active OAT prescription at 30, 90 and 180 days after index ED visit. Also number of buprenorphine/naloxone initiations.",before vs. after,"Buprenorphine/naloxone initiations increased post-intervention at most sites with baseline data available (11 of 13), and most patients (67%) continued to fill an opioid agonist prescription at 180 days post-ED visit.",yes
173,DL,KS,Rosenfeld,"Multidisciplinary Management of Opioid Use-Related Infective Endocarditis: Treatment, QTc Values, and Cardiac Arrests due to Ventricular Fibrillation.",,2023,10.3390/jcm12030882,database 2,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,,United States,"New Haven, Connecticut",Northeast states,medical wards,Methadone and buprenorphine,2018-2020,2018,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Improving specialty-specific care for patients who are dependent on opioids",building_capacity,"Multi-disciplinary endocarditis evaluation team (MEET) was established. This team, comprised of addiction medicine, anesthesia, cardiology, cardiac surgery and infectious disease clinicians, as well as case managers, nurses and social workers, was designed to optimize, formalize and standardize care for patients with OUD and infective endocarditis. ",Inpatients with infective endocarditis and opioid use disorder,Infective endocarditis,62,Median 33.5 (IQR 25-43),"Patients from 2013-2018, before the intervention was implemented","Treatment with MOUD during admission, QTc values, cardiac arrests due to ventricular fibrillation",cohort study (with control group),OAT (mainly methadone) increased from 42% to 96%. QTc values and cardiac arrests were similar before and during the intervention.,yes
174,DL,KS,Carroll,Emergency-department initiated buprenorphine: Impact on quality of life.,,2023,10.1016/j.dadr.2023.100191,database 2,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,DL,KS,Johnson,Effect of Didactic Training on Barriers and Biases to Treatment of Opioid Use Disorder: Meeting the Ongoing Needs of Patients with Opioid Use Disorder in the Emergency Department during the COVID-19 Pandemic.,,2022,10.3390/healthcare10122393,database 2,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,,United States,California,Western states,ED,Buprenorphine,2020,2020,2020-2024,"Training and education in relation to OAT, including x-waiver training in the United States",ed_ost,"Four hours training delivered by an addiction physician for emergency medicine residents. The training included a condensed version of the X-waiver scripted content, with a more in depth focus on practical case-based content on recognition of substance use disorders, treatment modalities, efficacy of OAT, buprenorphine induction in the ED setting, and connection to outpatient care resources in the area.",ED residents,,49,unknown,ED residents before completing the training,17 questions about knowledge and attitudes in relation to patients with opioid use disorder.,before vs. after,"Residents reported improved preparedness to treat OUD, decreased perception of barriers to providing OAT, and increased comfort prescribing naloxone, counseling patients, prescribing buprenorphine, and treating opioid withdrawal. (Note there were not significant differences for other outcomes).",yes
176,DL,KS,Williams,Implementation of a clinical pathway to screen and treat medical inpatients for opioid withdrawal.,,2022,10.1177/26334895221096290,database 2,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,DL,KS,Faude,Variability in opioid use disorder clinical presentations and treatment in the emergency department: A mixed-methods study.,,2023,10.1016/j.ajem.2023.01.009,database 2,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,DL,KS,Zavodnick,"Medication Initiation, Patient-directed Discharges, and Hospital Readmissions Before and After Implementing Guidelines for Opioid Withdrawal Management.",,2023,10.1097/ADM.0000000000001053,database 2,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
